Symbol,Name
BTC,Bitcoin
ETH,Ethereum
BNB,Binance Coin
DOGE,Dogecoin
XRP,XRP
USDT,Tether
ADA,Cardano
DOT,Polkadot
UNI,Uniswap
LTC,Litecoin
LINK,Chainlink
BCH,Bitcoin Cash
USDC,USD Coin
VET,VeChain
XLM,Stellar
SOL,Solana
THETA,THETA
FIL,Filecoin
WBTC,Wrapped Bitcoin
TRX,TRON
ETC,Ethereum Classic
NEO,Neo
XMR,Monero
BUSD,Binance USD
EOS,EOS
BSV,Bitcoin SV
LUNA,Terra
CAKE,PancakeSwap
AAVE,Aave
KLAY,Klaytn
MIOTA,IOTA
MKR,Maker
FTT,FTX Token
ATOM,Cosmos
XTZ,Tezos
HT,Huobi Token
CRO,Crypto.com Coin
BTT,BitTorrent
RUNE,THORChain
DAI,Dai
AVAX,Avalanche
DASH,Dash
ALGO,Algorand
WAVES,Waves
COMP,Compound
MATIC,Polygon
KSM,Kusama
EGLD,Elrond
ZEC,Zcash
BTCB,Bitcoin BEP2
XEM,NEM
CHZ,Chiliz
LEO,UNUS SED LEO
DCR,Decred
HOT,Holo
HBAR,Hedera Hashgraph
OKB,OKB
ZIL,Zilliqa
STX,Stacks
MANA,Decentraland
NEXO,Nexo
ENJ,Enjin Coin
UST,TerraUSD
BTG,Bitcoin Gold
DGB,DigiByte
SNX,Synthetix
YFI,yearn.finance
GRT,The Graph
BAT,Basic Attention Token
NEAR,NEAR Protocol
TFUEL,Theta Fuel
FTM,Fantom
SC,Siacoin
SUSHI,SushiSwap
ONT,Ontology
UMA,UMA
CEL,Celsius
QTUM,Qtum
RVN,Ravencoin
HNT,Helium
CHSB,SwissBorg
ICX,ICON
ZRX,0x
OMG,OMG Network
BNT,Bancor
ZEN,Horizen
NANO,Nano
ONE,Harmony
BAKE,BakeryToken
XVS,Venus
CELO,Celo
KCS,KuCoin Token
REV,Revain
FLOW,Flow
ANKR,Ankr
RSR,Reserve Rights
IOST,IOST
TEL,Telcoin
VGX,Voyager Token
TUSD,TrueUSD
DENT,Dent
PAX,Paxos Standard
REN,Ren
AR,Arweave
1INCH,1inch
CRV,Curve DAO Token
XVG,Verge
PROM,Prometeus
CFX,Conflux Network
WRX,WazirX
LSK,Lisk
HUSD,HUSD
RENBTC,renBTC
BTMX,BTMX
CKB,Nervos Network
LPT,Livepeer
LRC,Loopring
KNC,Kyber Network Crystal Legacy
ABBC,ABBC Coin
SNT,Status
VTHO,VeThor Token
BCD,Bitcoin Diamond
MDX,Mdex
OCEAN,Ocean Protocol
BTCST,Bitcoin Standard Hashrate Token
STORJ,Storj
SRM,Serum
IOTX,IoTeX
ALPHA,Alpha Finance Lab
REEF,Reef
QNT,Quant
GLM,Golem
BAL,Balancer
OGN,Origin Protocol
SXP,Swipe
REP,Augur
ZKS,ZKSwap
INJ,Injective Protocol
EWT,Energy Web Token
FET,Fetch.ai
GT,GateToken
STMX,StormX
SAND,The Sandbox
BAND,Band Protocol
FUN,FUNToken
WAXP,WAX
DODO,DODO
MAID,MaidSafeCoin
MCO,MCO
SKL,SKALE Network
NKN,NKN
STRAX,Stratis
KIN,Kin
SYS,Syscoin
WIN,WINkLink
RLC,iExec RLC
BTS,BitShares
CVC,Civic
GNO,Gnosis
USDN,Neutrino USD
ANT,Aragon
ARDR,Ardor
KAVA,Kava.io
SWAP,TrustSwap
MED,MediBloc
WOO,Wootrade
AGI,SingularityNET
CELR,Celer Network
NMR,Numeraire
KMD,Komodo
STEEM,Steem
CTSI,Cartesi
XHV,Haven Protocol
UTK,Utrust
NU,NuCypher
SNM,SONM
ORBS,Orbs
HNS,Handshake
UQC,Uquid Coin
VLX,Velas
UBT,Unibright
WAN,Wanchain
BTM,Bytom
JST,JUST
BADGER,Badger DAO
AMPL,Ampleforth
AVA,Travala.com
SCRT,Secret
ALICE,MyNeighborAlice
ZB,ZB Token
MTL,Metal
ARK,Ark
META,Metadium
PPT,Populous
ONG,Ontology Gas
NOIA,Syntropy
ROSE,Oasis Network
OXT,Orchid
TRAC,OriginTrail
COTI,COTI
